app_name,release_date,item_id,precio
Little Farm,2008-06-10,15960,9.99
7 Wonders II,2008-06-10,15900,9.99
Luxor Amun Rising,2005-12-08,15910,9.99
Luxor 3,2007-11-13,15930,9.99
Petz® Horsez® 2,2007-11-13,15160,9.99
Luxor 2,2005-12-08,15920,9.99
Rayman Raving Rabbids™,2007-03-27,15080,9.99
Silent Hunter®: Wolves of the Pacific,2007-03-20,15200,9.99
IL-2 Sturmovik: 1946,2006-12-15,15320,9.99
Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,15240,9.99
Bone: Out From Boneville,2005-09-15,8310,9.99
Midnight Outlaw: 6 Hours to SunUp,2005-07-02,12600,9.99
Bone: The Great Cow Race,2006-04-12,8320,9.99
Sprint Cars Road to Knoxville,2008-07-29,12590,9.99
Dr. Daisy Pet Vet,2008-01-08,12580,9.99
Ride! Carnival Tycoon,2007-07-02,12560,9.99
Hot Dish,2008-01-12,12570,9.99
Mahjongg Investigations: Under Suspicion,2007-08-08,12540,9.99
Dracula Origin,2008-05-20,11050,9.99
Beijing 2008™ - The Official Video Game of the Olympic Games,2008-07-08,10520,0.0
Sherlock Holmes - Nemesis,2008-04-14,11040,9.99
Eternity's Child,2008-07-31,19500,4.99
Pacific Storm Allies,2007-05-25,11260,7.99
Tank Universal,2008-08-21,19200,4.99
FlatOut: Ultimate Carnage,2008-08-19,12360,19.99
Oddworld: Abe's Exoddus®,1998-11-17,15710,2.99
Oddworld: Abe's Oddysee®,1997-12-12,15700,2.99
GTR Evolution Expansion Pack for RACE 07,2008-09-01,8660,7.99
X-COM: Enforcer,2001-04-19,7770,4.99
X-COM: Apocalypse,1997-07-15,7660,4.99
X-COM: UFO Defense,1993-12-31,7760,4.99
S.T.A.L.K.E.R.: Clear Sky,2008-09-15,20510,9.99
Crysis Warhead®,2008-09-17,17330,19.99
Crysis,2007-11-13,17300,19.99
X-COM: Interceptor,1998-06-15,7730,4.99
The Witcher: Enhanced Edition Director's Cut,2008-09-16,20900,9.99
Multiwinia,2008-09-19,1530,9.99
STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,8690,2.99
Children of the Nile: Alexandria,2008-08-28,17120,2.49
Sid Meier's Civilization IV: Colonization,2008-09-23,16810,19.99
Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,19830,9.99
LEGO Batman,2008-09-29,21000,19.99
City Life 2008,2008-07-18,4460,9.99
Hinterland,2008-09-30,17140,9.99
Brothers in Arms: Hell's Highway™,2008-10-08,15390,9.99
Gravitron 2,2008-08-31,21300,4.99
Xpand Rally Xtreme,2006-12-01,3050,4.99
Heroes of Might & Magic V: Hammers of Fate,2006-11-14,15380,9.99
Brothers in Arms: Earned in Blood™,2005-10-04,19800,9.99
Heroes of Might & Magic V: Tribes of the East,2007-10-16,15370,9.99
The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,19930,19.99
Brain Spa,2007-09-25,15350,9.99
The Sum of All Fears,2002-05-31,19810,9.99
Peggle™ Nights,2008-10-15,3540,4.99
World of Goo,2008-10-13,22000,9.99
X3: Terran Conflict,2008-10-16,2820,15.99
Mare Nostrum,2008-10-17,1230,0.0
Spectraball,2008-10-20,18300,4.99
Galactic Bowling,2008-10-21,20200,19.99
Bully: Scholarship Edition,2008-10-21,12200,14.99
Far Cry® 2: Fortune's Edition,2008-10-22,19900,9.99
Space Trader: Merchant Marine,2008-10-23,11240,4.99
PRR Wagon Pack 01,2009-01-01,256522,4.99
"Class 421 London South East ""Jaffa Cake""",2009-01-01,275144,4.99
ATSF Wagon Pack 01,2009-01-01,256521,4.99
GP20 Union Pacific Add-on Livery,2009-01-01,222569,4.99
UK Van Wagon Pack,2009-01-01,256535,4.99
CSX SD70MAC Add-on Livery,2009-01-01,256611,4.99
CSX ES44AC Add-on Livery,2009-01-01,256576,4.99
Saints Row 2,2009-01-28,9480,9.99
Dead Space,2008-10-20,17470,19.99
Rise of the Argonauts,2008-12-16,12770,9.99
Mirror's Edge™,2009-01-13,17410,19.99
Defense Grid: The Awakening,2008-12-08,18500,9.99
F.E.A.R. 2: Project Origin,2009-02-12,16450,14.99
Harvest: Massive Encounter,2008-03-05,15400,7.99
Mayhem Intergalactic,2007-07-04,18600,9.99
Larva Mortus,2009-03-19,11340,4.99
Knights of Honor,2005-05-10,25830,9.99
Ceville,2009-02-27,23460,5.99
Empire: Total War™ - Special Forces Units & Bonus Content,2009-03-04,10600,2.99
Watchmen: The End is Nigh,2009-03-04,21010,4.99
Penumbra Overture,2007-03-30,22180,9.99
Unreal Tournament 3 Black,2007-11-19,13210,19.99
Drakensang,2009-02-27,12640,9.99
Age of Booty™,2009-03-09,21600,0.0
The Graveyard,2008-03-21,27020,4.99
Burnout Paradise: The Ultimate Box,2009-02-03,24740,19.99
Zombie Master,2009-03-11,90047,0.0
The Maw,2009-03-09,26000,9.99
The Maw: River Redirect,2009-03-16,26006,1.25
The Maw: Brute Force,2009-03-16,26005,1.25
Obulis,2009-03-19,11330,4.99
Space Giraffe,2009-03-19,27800,9.99
Codename: Panzers - Cold War,2009-03-10,9850,14.99
Escape Rosecliff Island,2009-04-15,3600,4.99
Guild Wars Nightfall,2006-10-27,29580,19.99
Guild Wars,2005-04-28,29540,19.99
Guild Wars Factions,2006-04-28,29560,19.99
Guild Wars Trilogy,2008-09-25,29570,29.99
Puzzle Kingdoms,2009-04-16,23700,14.99
Samantha Swift and the Golden Touch,2009-04-29,16060,9.99
Two Worlds Epic Edition,2009-04-30,1930,9.99
Helldorado,2009-04-30,18470,9.99
X-Blades,2009-02-10,7510,9.99
Zeno Clash,2009-04-21,22200,9.99
The Maw: Speeder Lane,2009-04-29,26007,1.25
King's Bounty: The Legend,2008-09-23,25900,6.99
Virtual Families,2009-05-06,16200,9.99
Death Track®: Resurrection,2009-05-06,7840,2.99
Freedom Force vs. the Third Reich,2005-03-08,8890,4.99
Freedom Force,2002-03-26,8880,4.99
Light of Altair,2009-06-04,34500,14.99
Darkest Hour: Europe '44-'45,2009-06-09,1280,0.0
Prototype™,2009-06-10,10150,19.99
Blueberry Garden,1900-01-01,29160,4.99
Port Royale 2,2004-04-30,12470,4.99
Call of Cthulhu®: Dark Corners of the Earth,2006-04-26,22340,4.99
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,22330,14.99
The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,22320,14.99
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,2009-06-16,900883,19.99
Ankh 2: Heart of Osiris,2007-05-18,12440,4.99
Armored Fist 3,1999-09-01,32710,9.99
MiG-29 Fulcrum,1998-09-07,32740,9.99
BC Kings,2008-09-15,12460,4.99
Call of Juarez®: Bound in Blood,2009-06-30,21980,9.99
Nancy Drew®: Legend of the Crystal Skull,2007-10-01,31860,6.99
Nancy Drew®: The Creature of Kapu Cave,2006-10-01,31900,6.99
Nancy Drew®: The Phantom of Venice,2008-07-01,31920,6.99
Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,31930,6.99
BRAINPIPE: A Plunge to Unhumanity,2008-12-24,35800,0.0
Hunting Unlimited 2010,2009-07-07,12690,9.99
Tales of Monkey Island Complete Pack,2009-07-07,31170,19.99
Street Fighter® IV,2009-07-07,21660,19.99
Thrillville®: Off the Rails™,2007-10-09,6080,9.99
Indiana Jones® and the Fate of Atlantis™,1992-06-01,6010,5.99
Armed and Dangerous®,2003-12-02,6090,5.99
"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,6060,9.99
Indiana Jones® and the Last Crusade™,1989-07-01,32310,5.99
LEGO® Indiana Jones™: The Original Adventures,2008-06-03,32330,19.99
The Secret of Monkey Island: Special Edition,2009-07-15,32360,9.99
Warfare,2008-11-20,35300,12.99
Clutch,2009-06-02,35310,9.99
Nancy Drew®: Ransom of the Seven Ships,2009-07-21,31980,6.99
Nancy Drew®: Ransom of the Seven Ships Demo,2009-07-21,31990,0.0
3D Ultra™ Minigolf Adventures,2006-12-20,10140,9.99
King's Quest™ Collection,2006-09-01,10100,19.99
TimeShift™,2007-10-30,10130,19.99
Space Quest™ Collection,2006-09-01,10110,19.99
Killing Floor Outbreak Character Pack,2009-07-24,1256,7.99
Aces of the Galaxy™,2008-06-04,10120,9.99
Tropico Reloaded,2009-07-24,33520,6.99
Mystery P.I. - Lost in Los Angeles,2009-07-27,3610,4.99
Bionic Commando: Rearmed,2008-08-14,21680,9.99
Bionic Commando,2009-07-28,21670,9.99
Watchmen: The End is Nigh Part 2,2009-07-29,21030,4.99
Foreign Legion: Buckets of Blood,2009-08-04,36000,4.99
STAR WARS™ - Knights of the Old Republic™,2003-11-19,32370,9.99
Osmos,2009-08-18,29180,9.99
Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,38410,9.99
Fallout Tactics: Brotherhood of Steel,2001-03-01,38420,9.99
Kingpin — Life of Crime,1999-06-01,38430,9.99
Sacrifice,2000-11-01,38440,9.99
Mini Ninjas Demo,2009-08-19,35050,0.0
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009-08-20,31180,19.99
Jewel Quest Pack,2009-08-24,37960,19.99
Mahjong Quest Collection,2009-08-24,38000,9.99
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-06-22,37400,4.99
Tom Clancy's Splinter Cell Chaos Theory®,2005-03-29,13570,9.99
Crash Time 2,2009-08-27,11390,9.99
XIII Century – Gold Edition,2009-08-28,34420,4.99
World of Zoo,2009-10-30,43100,14.99
18 Wheels of Steel: Extreme Trucker,2009-09-23,33730,9.99
Mini Ninjas,2009-09-08,35000,9.99
Freeze Tag Fun Pack #2,2009-09-23,39392,19.99
Freeze Tag Fun Pack #1,1999-11-30,39391,19.99
Windosill,2009-05-26,37600,2.99
Train Simulator: Colton & Northern Route Add-On,2009-09-25,24029,24.99
Midnight Mysteries,2009-09-28,32140,9.99
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-09-07,31190,19.99
Joint Operations: Combined Arms Gold,2009-08-18,32770,19.99
Train Simulator: US Loco & Asset Pack,2009-10-01,208306,17.99
DinerTown Tycoon,2009-09-30,37300,9.99
Train Simulator: European Loco & Asset Pack,2009-10-01,208300,19.99
Risen,2009-10-30,40300,9.99
Flora's Fruit Farm,2009-10-01,35070,3.99
Empire: Total War™ - The Warpath Campaign,2009-10-05,10606,9.99
Machinarium,2009-10-16,40700,9.99
Medal of Honor: Airborne,2007-09-04,24840,9.99
Need for Speed: Shift,2009-09-15,24870,19.99
Torchlight,2009-10-27,41500,14.99
Command & Conquer: Red Alert 3 - Uprising,2009-03-12,24800,19.99
The Stronghold Collection,2009-10-27,901735,19.99
East India Company: Privateer,2009-10-27,42800,4.99
Painkiller: Resurrection,2009-10-27,39560,9.99
SpellForce 2 - Anniversary Edition,2009-10-29,39550,14.99
Secret Files: Tunguska,2009-10-29,40330,9.99
Rush for Berlin Gold,2009-10-29,40320,4.99
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-10-07,31200,19.99
Men of War: Red Tide,2009-11-01,3130,4.99
Hammerfight,2009-09-19,41100,4.99
SpellForce - Platinum Edition,2009-11-03,39540,9.99
Massive Assault: Phantom Renaissance,2005-03-03,34640,9.99
Massive Assault,2003-10-28,34630,9.99
Nancy Drew® Dossier: Resorting to Danger!,2009-11-19,42200,6.99
Serious Sam HD: The First Encounter,2009-11-24,41000,14.99
Secret Files 2: Puritas Cordis,2009-10-29,40340,9.99
Dragon Age: Origins,2009-11-06,17450,19.99
Aztaka,2009-05-07,37100,4.99
Magnetis,2009-11-05,37500,1.99
For The Glory: A Europa Universalis Game,2009-11-11,42810,9.99
Call of Duty®: Modern Warfare® 2,2009-11-12,10180,19.99
LEGO® Star Wars™ - The Complete Saga,2009-11-12,32440,19.99
Overlord™,2007-06-26,11450,4.99
Overlord™: Raising Hell,2008-02-15,12710,9.99
Command & Conquer 3: Tiberium Wars,2007-03-28,24790,14.99
Yumsters 2: Around the World,2008-07-23,29120,4.99
Command & Conquer 3: Kane's Wrath,2009-11-13,24810,19.99
Gratuitous Space Battles,2009-11-16,41800,14.99
Wings of Prey,2009-12-25,45300,9.99
The Bard's Tale,2005-06-17,41900,9.99
Defence Alliance 2,2009-10-22,35420,0.0
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009-11-03,32430,19.99
Europa Universalis III: Heir to the Throne,2009-12-15,25806,9.99
Fallout 3: Game of the Year Edition,2009-10-13,22370,19.99
Gratuitous Space Battles: The Tribe,2009-12-16,41802,5.99
Build-A-Lot,2007-10-02,38080,9.99
Build-A-Lot 2: Town of the Year,2008-04-29,38090,9.99
Build-A-Lot 3: Passport to Europe,2009-01-24,38100,9.99
Coconut Queen,2009-12-17,38070,9.99
Roogoo,2009-12-17,38210,1.99
Devil May Cry 4,2008-07-08,45700,19.99
Avencast: Rise of the Mage,2010-03-17,46410,9.99
Build-A-Lot 4: Power Source,2009-08-12,38110,9.99
"Pirates, Vikings, and Knights II",2010-02-12,17570,0.0
Farm Frenzy 2,2008-08-27,38130,4.99
Farm Frenzy 3: American Pie,2010-01-06,38160,9.99
Farm Frenzy 3,2009-09-11,38150,9.99
Farm Frenzy,2007-12-07,38120,4.99
Farm Frenzy: Pizza Party,2009-02-18,38140,4.99
Cake Mania Main Street™,2010-02-16,36300,6.99
Westward® IV: All Aboard,2010-02-16,36310,6.99
Iron Roses,2010-02-16,36320,6.99
UFO: Extraterrestrials Gold,2010-02-17,37030,9.99
LEGO® Indiana Jones™ 2: The Adventure Continues,2010-02-18,32450,19.99
Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,2010-02-18,34180,0.0
Super Laser  Racer,2010-02-18,44100,4.99
Hearts of Iron III: Soviet Infantry Pack DLC,2010-02-18,25960,0.99
NecroVisioN: Lost Company,2010-02-19,46250,6.99
Cradle of Persia,2007-12-01,38180,9.99
Aliens vs. Predator Swarm Map Pack,2010-03-18,10695,7.49
Serious Sam Classic: The First Encounter,2001-03-21,41050,9.99
Train Simulator: Fort Kent to Eagle Lake Route Add-On,2010-03-19,24055,19.99
Mount & Blade: Warband,2010-03-31,48700,19.99
Coniclysm,2010-03-26,39900,4.99
Plain Sight,2010-04-05,49900,4.99
Lead and Gold: Gangs of the Wild West,2010-04-08,42120,9.99
Grand Theft Auto: Episodes from Liberty City,2010-04-12,12220,19.99
Dark Void™ Zero,2010-04-12,45730,4.99
Fortix,2010-04-14,45400,0.99
Beat Hazard,2010-04-15,49600,9.99
Sam & Max: The Devil’s Playhouse,2010-04-15,901399,19.99
M.U.D. TV,2010-04-19,43500,9.99
Wings of Luftwaffe Add-on,2010-04-19,45302,4.99
The Misadventures of P.B. Winterbottom,2010-04-20,40930,4.99
AquaNox 2: Revelation,2003-08-19,39640,4.99
AquaNox,2001-11-30,39630,4.99
Fluttabyes,2010-04-20,23150,1.99
Hidden Expedition: Titanic,2006-07-19,50940,9.99
Hidden Expedition: Amazon,2008-06-19,50920,9.99
Napoleon: Total War™ - Coalition Battle Pack,2010-05-05,34178,2.99
Fitness Dash™,2008-12-31,37340,6.99
Gemini Lost™,2009-09-24,37390,6.99
DinerTown Detective Agency™,2009-07-27,37310,6.99
Mahjong Roadshow™,2007-10-19,37360,6.99
Hotel Dash™ Suite Success™,2009-12-24,49000,6.99
Nightshift Legacy: The Jaguar's Eye™,2010-03-19,37330,6.99
The Nightshift Code™,2008-02-11,37320,6.99
TriJinx: A Kristine Kross Mystery™,2007-12-31,37370,6.99
Valerie Porter and the Scarlet Scandal™,2009-12-21,37380,6.99
Biozone,2010-05-07,19080,9.99
Iron Grip: Warlord,2008-12-05,31700,0.0
Rocket Knight,2010-05-11,19030,14.99
Max and the Magic Marker,2010-05-12,50820,0.0
Flight of the Icarus,2010-05-12,49800,4.99
Puzzler World,2010-05-28,33650,4.99
Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,2010-06-08,901478,19.99
Ziro,2010-05-28,33660,4.99
Altered Beast™,2010-06-01,34281,2.99
Comix Zone™,2010-06-01,34272,2.99
SEGA Mega Drive and Genesis Classics,2010-06-01,34270,61.99
Golden Axe™,2010-06-01,34276,2.99
Ecco the Dolphin™,2010-06-01,34274,2.99
Gain Ground™,2010-06-01,34275,2.99
Shinobi™ III: Return of the Ninja Master,2010-06-01,34277,2.99
Crack Down™,2010-06-01,34273,2.99
VectorMan™,2010-06-01,34280,2.99
Sonic 3D Blast™,2010-06-01,34278,4.99
Shadow Dancer™,2010-06-01,34282,2.99
Space Harrier™ II,2010-06-01,34279,2.99
Alpha Protocol™,2010-06-01,34010,14.99
Alien Breed: Impact,2010-06-03,22610,9.99
Fallout 3 - Point Lookout,2010-07-16,22440,4.99
Defense Grid: Resurgence Map Pack 1,2010-06-02,18508,0.99
Fallout 3 - Mothership Zeta,2010-07-16,22430,4.99
Fallout 3 - Broken Steel,2010-07-16,22410,4.99
Fallout 3 - The Pitt,2010-07-16,22420,4.99
Alien Swarm,2010-07-19,630,0.0
Fallout 3 - Operation Anchorage,2010-07-16,22400,4.99
SimCity™ 4 Deluxe Edition,2003-09-22,24780,19.99
Disciples III - Renaissance Steam Special Edition,2010-07-16,33670,14.99
Tidalis,2010-07-16,40420,4.99
Razor2: Hidden Skies,2010-07-19,34920,9.99
The Settlers 7: Uncharted Land Map Pack,2010-07-21,48136,3.99
Dimensity,2008-12-08,46720,9.99
Kane & Lynch 2: Dog Days,2010-08-17,28000,9.99
The Guild II Renaissance,2010-07-28,39680,9.99
Hearts of Iron III DLC: German II Spritepack,2010-07-26,25962,0.99
Trainz Simulator DLC: Blue Comet,2010-08-06,24634,19.99
Fantasy Wars,2010-08-06,63900,4.99
Mafia II,2011-03-22,50130,29.99
Train Simulator: Network Southeast Class 47 Loco Add-On,2010-08-06,24075,4.99
Puzzle Quest 2,2010-08-12,47540,9.99
Burn Zombie Burn!,2010-08-12,50510,9.99
Madballs B*D*I Clan Skins,2010-08-16,25760,1.99
Madballs Scorched Evolution Skin Rollup,2010-08-16,25763,1.99
Madballs BDI Evolution Skin Rollup,2010-08-16,25762,1.99
Madballs Holiday Skin Rollup,2010-08-16,25764,2.99
Victoria I Complete,2010-08-20,42980,9.99
Ship Simulator Extremes,2010-08-27,48800,19.99
Worms Reloaded,2010-08-26,22600,19.99
Making History II: The War of the World,2010-06-22,46770,14.99
Arma 2: British Armed Forces,2010-08-27,65700,8.99
Victoria II,2010-08-30,42960,19.99
Booster Trooper Demo,2010-08-31,27930,0.0
Madballs Scorched Clan Skins,2010-08-16,25761,1.99
Kane & Lynch 2: The Doggie Bag,2010-08-31,28010,5.99
Kane & Lynch 2: Multiplayer Masks Pack,2010-08-31,28012,1.99
Trainz: Classic Cabon City,2010-09-01,24640,19.99
Kane & Lynch 2: Alliance Weapon Pack,2010-08-31,28011,2.99
Cossacks: Back to War,2002-11-01,4850,4.99
Broken Sword: Director's Cut,2010-09-02,57640,5.99
Chime,2010-09-06,62100,4.99
Mafia II DLC: Jimmy's Vendetta,2010-09-06,50145,9.99
Sniper: Ghost Warrior - Map Pack,2010-09-08,34841,1.99
VVVVVV,2010-09-07,70300,4.99
The Settlers 7: Conquest - The Empire Expansion DLC,2010-09-08,48137,3.99
Amnesia: The Dark Descent,2010-09-08,57300,19.99
Recettear: An Item Shop's Tale,2010-09-10,70400,19.99
Swarm Arena,2010-08-19,46600,3.99
Super Thunder Blade™,2010-09-13,34314,2.99
Galaxy Force II™,2010-09-13,34310,2.99
Hacker Evolution,2010-09-14,70100,4.99
Hacker Evolution: Untold,2010-09-14,70110,4.99
Faerie Solitaire,2010-09-17,38600,9.99
Patrician IV - Steam Special Edition,2010-09-17,57620,14.99
Bonanza Bros.™,2010-09-13,34284,2.99
King's Bounty: Crossworlds,2010-09-17,63910,14.99
Train Simulator: Green & Gold HST DMU Add-On,2010-09-17,24082,4.99
Sid Meier's Civilization® V,2010-09-21,8930,29.99
Commander: Conquest of the Americas - Colonial Navy,2010-09-21,49310,4.99
Serious Sam Classic: The Second Encounter,2002-02-05,41060,9.99
Star Ruler,2010-09-20,70900,9.99
Blade Kitten,2010-09-22,9940,2.99
Alien Breed 2: Assault,2010-09-22,22650,9.99
Serious Sam HD: Gold Edition,2010-09-23,901553,0.0
Darksiders™,2010-09-23,50620,19.99
X: Beyond the Frontier,1999-07-01,2840,4.99
The Kings' Crusade,2010-10-08,42920,9.99
Guild Wars: Eye of the North®,2007-08-31,29700,19.99
X: Tension,2000-06-01,2850,4.99
Age of Wonders II: The Wizard's Throne,1900-01-01,61510,9.99
Governor of Poker 2,2010-10-11,70200,7.99
Governor of Poker 2 - Premium Edition,2010-10-11,70210,14.99
Age of Wonders Shadow Magic,1900-01-01,61520,9.99
Age of Wonders,1900-01-01,61500,5.99
Medal of Honor™,2010-10-12,47790,19.99
Grotesque Tactics: Evil Heroes,2010-10-15,46450,9.99
Lost Planet® 2,2010-10-15,45750,19.99
Doc Clock: The Toasted Sandwich of Time,2010-10-15,57800,4.99
Fallout: New Vegas,2010-10-19,22380,9.99
The Polynomial - Space of the music,2010-10-15,67000,6.99
Puzzle Bots,2010-10-22,80300,4.99
