app_name,release_date,id,precios
Saints Row 2,2009-01-28,9480,2
Dead Space,2008-10-20,17470,3
Rise of the Argonauts,2008-12-16,12770,2
Mirror's Edge™,2009-01-13,17410,3
Defense Grid: The Awakening,2008-12-08,18500,2
F.E.A.R. 2: Project Origin,2009-02-12,16450,2
Harvest: Massive Encounter,2008-03-05,15400,2
Mayhem Intergalactic,2007-07-04,18600,2
Larva Mortus,2009-03-19,11340,1
Knights of Honor,2005-05-10,25830,2
Ceville,2009-02-27,23460,2
Empire: Total War™ - Special Forces Units & Bonus Content,2009-03-04,10600,1
Watchmen: The End is Nigh,2009-03-04,21010,1
Penumbra Overture,2007-03-30,22180,2
Unreal Tournament 3 Black,2007-11-19,13210,3
Drakensang,2009-02-27,12640,2
Age of Booty™,2009-03-09,21600,0
The Graveyard,2008-03-21,27020,1
Burnout Paradise: The Ultimate Box,2009-02-03,24740,3
Zombie Master,2009-03-11,90047,0
The Maw,2009-03-09,26000,2
The Maw: River Redirect,2009-03-16,26006,1
The Maw: Brute Force,2009-03-16,26005,1
Obulis,2009-03-19,11330,1
Space Giraffe,2009-03-19,27800,2
Codename: Panzers - Cold War,2009-03-10,9850,2
Escape Rosecliff Island,2009-04-15,3600,1
Guild Wars Nightfall,2006-10-27,29580,3
Guild Wars,2005-04-28,29540,3
Guild Wars Factions,2006-04-28,29560,3
Guild Wars Trilogy,2008-09-25,29570,3
Puzzle Kingdoms,2009-04-16,23700,2
Samantha Swift and the Golden Touch,2009-04-29,16060,2
Two Worlds Epic Edition,2009-04-30,1930,2
Helldorado,2009-04-30,18470,2
X-Blades,2009-02-10,7510,2
Zeno Clash,2009-04-21,22200,2
The Maw: Speeder Lane,2009-04-29,26007,1
King's Bounty: The Legend,2008-09-23,25900,2
Virtual Families,2009-05-06,16200,2
Death Track®: Resurrection,2009-05-06,7840,1
Freedom Force vs. the Third Reich,2005-03-08,8890,1
Freedom Force,2002-03-26,8880,1
Light of Altair,2009-06-04,34500,2
Darkest Hour: Europe '44-'45,2009-06-09,1280,0
Prototype™,2009-06-10,10150,3
Blueberry Garden,1900-01-01,29160,1
Port Royale 2,2004-04-30,12470,1
Call of Cthulhu®: Dark Corners of the Earth,2006-04-26,22340,1
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,22330,2
The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,22320,2
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,2009-06-16,900883,3
Ankh 2: Heart of Osiris,2007-05-18,12440,1
Armored Fist 3,1999-09-01,32710,2
MiG-29 Fulcrum,1998-09-07,32740,2
BC Kings,2008-09-15,12460,1
Call of Juarez®: Bound in Blood,2009-06-30,21980,2
Nancy Drew®: Legend of the Crystal Skull,2007-10-01,31860,2
Nancy Drew®: The Creature of Kapu Cave,2006-10-01,31900,2
Nancy Drew®: The Phantom of Venice,2008-07-01,31920,2
Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,31930,2
BRAINPIPE: A Plunge to Unhumanity,2008-12-24,35800,0
Hunting Unlimited 2010,2009-07-07,12690,2
Tales of Monkey Island Complete Pack,2009-07-07,31170,3
Street Fighter® IV,2009-07-07,21660,3
Thrillville®: Off the Rails™,2007-10-09,6080,2
Indiana Jones® and the Fate of Atlantis™,1992-06-01,6010,2
Armed and Dangerous®,2003-12-02,6090,2
"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,6060,2
Indiana Jones® and the Last Crusade™,1989-07-01,32310,2
LEGO® Indiana Jones™: The Original Adventures,2008-06-03,32330,3
The Secret of Monkey Island: Special Edition,2009-07-15,32360,2
Warfare,2008-11-20,35300,2
Clutch,2009-06-02,35310,2
Nancy Drew®: Ransom of the Seven Ships,2009-07-21,31980,2
Nancy Drew®: Ransom of the Seven Ships Demo,2009-07-21,31990,0
3D Ultra™ Minigolf Adventures,2006-12-20,10140,2
King's Quest™ Collection,2006-09-01,10100,3
TimeShift™,2007-10-30,10130,3
Space Quest™ Collection,2006-09-01,10110,3
Killing Floor Outbreak Character Pack,2009-07-24,1256,2
Aces of the Galaxy™,2008-06-04,10120,2
Tropico Reloaded,2009-07-24,33520,2
Mystery P.I. - Lost in Los Angeles,2009-07-27,3610,1
Bionic Commando: Rearmed,2008-08-14,21680,2
Bionic Commando,2009-07-28,21670,2
Watchmen: The End is Nigh Part 2,2009-07-29,21030,1
Foreign Legion: Buckets of Blood,2009-08-04,36000,1
STAR WARS™ - Knights of the Old Republic™,2003-11-19,32370,2
Osmos,2009-08-18,29180,2
Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,38410,2
Fallout Tactics: Brotherhood of Steel,2001-03-01,38420,2
Kingpin — Life of Crime,1999-06-01,38430,2
Sacrifice,2000-11-01,38440,2
Mini Ninjas Demo,2009-08-19,35050,0
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009-08-20,31180,3
Jewel Quest Pack,2009-08-24,37960,3
Mahjong Quest Collection,2009-08-24,38000,2
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-06-22,37400,1
Tom Clancy's Splinter Cell Chaos Theory®,2005-03-29,13570,2
Crash Time 2,2009-08-27,11390,2
XIII Century – Gold Edition,2009-08-28,34420,1
World of Zoo,2009-10-30,43100,2
18 Wheels of Steel: Extreme Trucker,2009-09-23,33730,2
Mini Ninjas,2009-09-08,35000,2
Freeze Tag Fun Pack #2,2009-09-23,39392,3
Freeze Tag Fun Pack #1,1999-11-30,39391,3
Windosill,2009-05-26,37600,1
Train Simulator: Colton & Northern Route Add-On,2009-09-25,24029,3
Midnight Mysteries,2009-09-28,32140,2
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-09-07,31190,3
Joint Operations: Combined Arms Gold,2009-08-18,32770,3
Train Simulator: US Loco & Asset Pack,2009-10-01,208306,3
DinerTown Tycoon,2009-09-30,37300,2
Train Simulator: European Loco & Asset Pack,2009-10-01,208300,3
Risen,2009-10-30,40300,2
Flora's Fruit Farm,2009-10-01,35070,1
Empire: Total War™ - The Warpath Campaign,2009-10-05,10606,2
Machinarium,2009-10-16,40700,2
Medal of Honor: Airborne,2007-09-04,24840,2
Need for Speed: Shift,2009-09-15,24870,3
Torchlight,2009-10-27,41500,2
Command & Conquer: Red Alert 3 - Uprising,2009-03-12,24800,3
The Stronghold Collection,2009-10-27,901735,3
East India Company: Privateer,2009-10-27,42800,1
Painkiller: Resurrection,2009-10-27,39560,2
SpellForce 2 - Anniversary Edition,2009-10-29,39550,2
Secret Files: Tunguska,2009-10-29,40330,2
Rush for Berlin Gold,2009-10-29,40320,1
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-10-07,31200,3
Men of War: Red Tide,2009-11-01,3130,1
Hammerfight,2009-09-19,41100,1
SpellForce - Platinum Edition,2009-11-03,39540,2
Massive Assault: Phantom Renaissance,2005-03-03,34640,2
Massive Assault,2003-10-28,34630,2
Nancy Drew® Dossier: Resorting to Danger!,2009-11-19,42200,2
Serious Sam HD: The First Encounter,2009-11-24,41000,2
Secret Files 2: Puritas Cordis,2009-10-29,40340,2
Dragon Age: Origins,2009-11-06,17450,3
Aztaka,2009-05-07,37100,1
Magnetis,2009-11-05,37500,1
For The Glory: A Europa Universalis Game,2009-11-11,42810,2
Call of Duty®: Modern Warfare® 2,2009-11-12,10180,3
LEGO® Star Wars™ - The Complete Saga,2009-11-12,32440,3
Overlord™,2007-06-26,11450,1
Overlord™: Raising Hell,2008-02-15,12710,2
Command & Conquer 3: Tiberium Wars,2007-03-28,24790,2
Yumsters 2: Around the World,2008-07-23,29120,1
Command & Conquer 3: Kane's Wrath,2009-11-13,24810,3
Gratuitous Space Battles,2009-11-16,41800,2
Wings of Prey,2009-12-25,45300,2
The Bard's Tale,2005-06-17,41900,2
Defence Alliance 2,2009-10-22,35420,0
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009-11-03,32430,3
Europa Universalis III: Heir to the Throne,2009-12-15,25806,2
Fallout 3: Game of the Year Edition,2009-10-13,22370,3
Gratuitous Space Battles: The Tribe,2009-12-16,41802,2
Build-A-Lot,2007-10-02,38080,2
Build-A-Lot 2: Town of the Year,2008-04-29,38090,2
Build-A-Lot 3: Passport to Europe,2009-01-24,38100,2
Coconut Queen,2009-12-17,38070,2
Roogoo,2009-12-17,38210,1
Devil May Cry 4,2008-07-08,45700,3
Avencast: Rise of the Mage,2010-03-17,46410,2
Build-A-Lot 4: Power Source,2009-08-12,38110,2
"Pirates, Vikings, and Knights II",2010-02-12,17570,0
Farm Frenzy 2,2008-08-27,38130,1
Farm Frenzy 3: American Pie,2010-01-06,38160,2
Farm Frenzy 3,2009-09-11,38150,2
Farm Frenzy,2007-12-07,38120,1
Farm Frenzy: Pizza Party,2009-02-18,38140,1
Cake Mania Main Street™,2010-02-16,36300,2
Westward® IV: All Aboard,2010-02-16,36310,2
Iron Roses,2010-02-16,36320,2
UFO: Extraterrestrials Gold,2010-02-17,37030,2
LEGO® Indiana Jones™ 2: The Adventure Continues,2010-02-18,32450,3
Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,2010-02-18,34180,0
Super Laser  Racer,2010-02-18,44100,1
Hearts of Iron III: Soviet Infantry Pack DLC,2010-02-18,25960,1
NecroVisioN: Lost Company,2010-02-19,46250,2
Cradle of Persia,2007-12-01,38180,2
Aliens vs. Predator Swarm Map Pack,2010-03-18,10695,2
Serious Sam Classic: The First Encounter,2001-03-21,41050,2
Train Simulator: Fort Kent to Eagle Lake Route Add-On,2010-03-19,24055,3
Mount & Blade: Warband,2010-03-31,48700,3
Coniclysm,2010-03-26,39900,1
Plain Sight,2010-04-05,49900,1
Lead and Gold: Gangs of the Wild West,2010-04-08,42120,2
Grand Theft Auto: Episodes from Liberty City,2010-04-12,12220,3
Dark Void™ Zero,2010-04-12,45730,1
Fortix,2010-04-14,45400,1
Beat Hazard,2010-04-15,49600,2
Sam & Max: The Devil’s Playhouse,2010-04-15,901399,3
M.U.D. TV,2010-04-19,43500,2
Wings of Luftwaffe Add-on,2010-04-19,45302,1
The Misadventures of P.B. Winterbottom,2010-04-20,40930,1
AquaNox 2: Revelation,2003-08-19,39640,1
AquaNox,2001-11-30,39630,1
Fluttabyes,2010-04-20,23150,1
Hidden Expedition: Titanic,2006-07-19,50940,2
Hidden Expedition: Amazon,2008-06-19,50920,2
Napoleon: Total War™ - Coalition Battle Pack,2010-05-05,34178,1
Fitness Dash™,2008-12-31,37340,2
Gemini Lost™,2009-09-24,37390,2
DinerTown Detective Agency™,2009-07-27,37310,2
Mahjong Roadshow™,2007-10-19,37360,2
Hotel Dash™ Suite Success™,2009-12-24,49000,2
Nightshift Legacy: The Jaguar's Eye™,2010-03-19,37330,2
The Nightshift Code™,2008-02-11,37320,2
TriJinx: A Kristine Kross Mystery™,2007-12-31,37370,2
Valerie Porter and the Scarlet Scandal™,2009-12-21,37380,2
Biozone,2010-05-07,19080,2
Iron Grip: Warlord,2008-12-05,31700,0
Rocket Knight,2010-05-11,19030,2
Max and the Magic Marker,2010-05-12,50820,0
Flight of the Icarus,2010-05-12,49800,1
Puzzler World,2010-05-28,33650,1
Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,2010-06-08,901478,3
Ziro,2010-05-28,33660,1
Altered Beast™,2010-06-01,34281,1
Comix Zone™,2010-06-01,34272,1
SEGA Mega Drive and Genesis Classics,2010-06-01,34270,3
Golden Axe™,2010-06-01,34276,1
Ecco the Dolphin™,2010-06-01,34274,1
Gain Ground™,2010-06-01,34275,1
Shinobi™ III: Return of the Ninja Master,2010-06-01,34277,1
Crack Down™,2010-06-01,34273,1
VectorMan™,2010-06-01,34280,1
Sonic 3D Blast™,2010-06-01,34278,1
Shadow Dancer™,2010-06-01,34282,1
Space Harrier™ II,2010-06-01,34279,1
Alpha Protocol™,2010-06-01,34010,2
Alien Breed: Impact,2010-06-03,22610,2
Fallout 3 - Point Lookout,2010-07-16,22440,1
Defense Grid: Resurgence Map Pack 1,2010-06-02,18508,1
Fallout 3 - Mothership Zeta,2010-07-16,22430,1
Fallout 3 - Broken Steel,2010-07-16,22410,1
Fallout 3 - The Pitt,2010-07-16,22420,1
Alien Swarm,2010-07-19,630,0
Fallout 3 - Operation Anchorage,2010-07-16,22400,1
SimCity™ 4 Deluxe Edition,2003-09-22,24780,3
Disciples III - Renaissance Steam Special Edition,2010-07-16,33670,2
Tidalis,2010-07-16,40420,1
Razor2: Hidden Skies,2010-07-19,34920,2
The Settlers 7: Uncharted Land Map Pack,2010-07-21,48136,1
Dimensity,2008-12-08,46720,2
Kane & Lynch 2: Dog Days,2010-08-17,28000,2
The Guild II Renaissance,2010-07-28,39680,2
Hearts of Iron III DLC: German II Spritepack,2010-07-26,25962,1
Trainz Simulator DLC: Blue Comet,2010-08-06,24634,3
Fantasy Wars,2010-08-06,63900,1
Mafia II,2011-03-22,50130,3
Train Simulator: Network Southeast Class 47 Loco Add-On,2010-08-06,24075,1
Puzzle Quest 2,2010-08-12,47540,2
Burn Zombie Burn!,2010-08-12,50510,2
Madballs B*D*I Clan Skins,2010-08-16,25760,1
Madballs Scorched Evolution Skin Rollup,2010-08-16,25763,1
Madballs BDI Evolution Skin Rollup,2010-08-16,25762,1
Madballs Holiday Skin Rollup,2010-08-16,25764,1
Victoria I Complete,2010-08-20,42980,2
Ship Simulator Extremes,2010-08-27,48800,3
Worms Reloaded,2010-08-26,22600,3
Making History II: The War of the World,2010-06-22,46770,2
Arma 2: British Armed Forces,2010-08-27,65700,2
Victoria II,2010-08-30,42960,3
Booster Trooper Demo,2010-08-31,27930,0
Madballs Scorched Clan Skins,2010-08-16,25761,1
Kane & Lynch 2: The Doggie Bag,2010-08-31,28010,2
Kane & Lynch 2: Multiplayer Masks Pack,2010-08-31,28012,1
Trainz: Classic Cabon City,2010-09-01,24640,3
Kane & Lynch 2: Alliance Weapon Pack,2010-08-31,28011,1
Cossacks: Back to War,2002-11-01,4850,1
Broken Sword: Director's Cut,2010-09-02,57640,2
Chime,2010-09-06,62100,1
Mafia II DLC: Jimmy's Vendetta,2010-09-06,50145,2
Sniper: Ghost Warrior - Map Pack,2010-09-08,34841,1
VVVVVV,2010-09-07,70300,1
The Settlers 7: Conquest - The Empire Expansion DLC,2010-09-08,48137,1
Amnesia: The Dark Descent,2010-09-08,57300,3
Recettear: An Item Shop's Tale,2010-09-10,70400,3
Swarm Arena,2010-08-19,46600,1
Super Thunder Blade™,2010-09-13,34314,1
Galaxy Force II™,2010-09-13,34310,1
Hacker Evolution,2010-09-14,70100,1
Hacker Evolution: Untold,2010-09-14,70110,1
Faerie Solitaire,2010-09-17,38600,2
Patrician IV - Steam Special Edition,2010-09-17,57620,2
Bonanza Bros.™,2010-09-13,34284,1
King's Bounty: Crossworlds,2010-09-17,63910,2
Train Simulator: Green & Gold HST DMU Add-On,2010-09-17,24082,1
Sid Meier's Civilization® V,2010-09-21,8930,3
Commander: Conquest of the Americas - Colonial Navy,2010-09-21,49310,1
Serious Sam Classic: The Second Encounter,2002-02-05,41060,2
Star Ruler,2010-09-20,70900,2
Blade Kitten,2010-09-22,9940,1
Alien Breed 2: Assault,2010-09-22,22650,2
Serious Sam HD: Gold Edition,2010-09-23,901553,0
Darksiders™,2010-09-23,50620,3
X: Beyond the Frontier,1999-07-01,2840,1
The Kings' Crusade,2010-10-08,42920,2
Guild Wars: Eye of the North®,2007-08-31,29700,3
X: Tension,2000-06-01,2850,1
Age of Wonders II: The Wizard's Throne,1900-01-01,61510,2
Governor of Poker 2,2010-10-11,70200,2
Governor of Poker 2 - Premium Edition,2010-10-11,70210,2
Age of Wonders Shadow Magic,1900-01-01,61520,2
Age of Wonders,1900-01-01,61500,2
Medal of Honor™,2010-10-12,47790,3
Grotesque Tactics: Evil Heroes,2010-10-15,46450,2
Lost Planet® 2,2010-10-15,45750,3
Doc Clock: The Toasted Sandwich of Time,2010-10-15,57800,1
Fallout: New Vegas,2010-10-19,22380,2
The Polynomial - Space of the music,2010-10-15,67000,2
Puzzle Bots,2010-10-22,80300,1
Nimbus,2010-10-25,50000,2
Civilization V - Babylon (Nebuchadnezzar II),2010-10-25,16868,1
DeathSpank,2010-10-25,18040,2
Virtua Fighter™ 2,2010-10-26,71115,1
Columns™ III,2010-10-26,34317,1
Sword of Vermilion™,2010-10-26,71114,1
Golden Axe™ II,2010-10-26,71112,1
Sonic The Hedgehog,2010-10-26,71113,1
Flicky™,2010-10-26,71111,1
ESWAT™: City Under Siege,2010-10-26,71110,1
Ecco™: The Tides of Time,2010-10-26,34319,1
Decap Attack™,2010-10-26,34318,1
Bio-Hazard Battle™,2010-10-26,34316,1
Alien Storm,2010-10-26,34315,1
Shank,2010-10-25,6120,2
The Ball,2010-10-26,35460,2
STAR WARS™: The Force Unleashed™ II,2010-10-26,32500,3
Flight Control HD,2010-11-18,62000,1
Patrician III,2010-11-18,33570,1
BIT.TRIP BEAT,2010-11-02,63700,2
Theatre of War 2 - Battle for Caen,2010-11-02,46362,1
Woody Two-Legs: Attack of the Zombie Pirates,2010-11-02,49320,1
Clones,2010-11-18,72400,1
Victoria II: Interwar Spritepack,2010-11-02,42964,1
Front Mission Evolved: Wanzer Pack 2,2010-11-02,43011,1
Pound of Ground,2010-11-05,33980,2
Pat & Mat,2009-10-01,65710,2
Alternativa,2010-11-03,33990,2
Fish Fillets 2,2007-04-05,33950,1
Archon Classic,2010-11-02,65400,2
Call of Duty®: Black Ops,2010-11-09,42700,3
Rhythm Zone Tornado Visualizer DLC,2010-11-09,38923,1
Arcadia,2010-12-02,72500,1
Oddworld: Munch's Oddysee,2010-12-20,15740,1
Rhythm Zone DJ Table Visualizer DLC,2010-11-09,38924,1
Oddworld: Stranger's Wrath HD,2010-12-20,15750,2
Clickr,2010-12-23,45500,1
Back to the Future: The Game,2010-12-23,31290,3
Grand Theft Auto III,2002-05-21,12100,2
Grand Theft Auto: San Andreas,2005-06-06,12120,2
Lara Croft GoL: Raziel and Kain Character Pack,2011-01-07,35135,1
